A_SECTOR,SHELF,REEF_NAME,YEAR_CODE,TOTAL_ROWS,POCILLOPORA_COUNT,STYLOPHORA_COUNT,POCILLOPORA_PERCENT,STYLOPHORA_PERCENT
TO,O,CHICKEN REEF,199394,18330,1620,720,8.83797054,3.927986907
TO,O,CHICKEN REEF,199495,20490,1140,1110,5.563689605,5.41727672
TO,O,CHICKEN REEF,199596,33570,1620,1320,4.825737265,3.932082216
TO,O,CHICKEN REEF,199697,31590,2460,1230,7.787274454,3.893637227
TO,O,CHICKEN REEF,199798,37140,2040,1710,5.49273021,4.604200323
TO,O,CHICKEN REEF,199899,48600,0,2040,0,4.197530864
TO,O,CHICKEN REEF,199900,31620,0,1710,0,5.407969639
TO,O,CHICKEN REEF,200001,33810,0,1410,0,4.170363798
TO,O,CHICKEN REEF,200102,33240,0,2100,0,6.317689531
TO,O,CHICKEN REEF,200203,30690,0,1530,0,4.985337243
TO,O,CHICKEN REEF,200304,11610,0,390,0,3.359173127
TO,O,CHICKEN REEF,200405,12030,0,270,0,2.244389027
TO,O,CHICKEN REEF,200506,10980,360,300,3.278688525,2.732240437
TO,O,CHICKEN REEF,200607,12450,450,450,3.614457831,3.614457831
TO,O,CHICKEN REEF,200708,11970,330,450,2.756892231,3.759398496
TO,O,CHICKEN REEF,200809,14070,390,660,2.771855011,4.690831557
TO,O,CHICKEN REEF,200910,13770,990,510,7.189542484,3.703703704
TO,O,CHICKEN REEF,201011,7080,30,120,0.423728814,1.694915254
TO,O,CHICKEN REEF,201112,6780,90,90,1.327433628,1.327433628
TO,O,CHICKEN REEF,201213,9600,240,90,2.5,0.9375
TO,O,CHICKEN REEF,201314,12420,420,240,3.381642512,1.93236715
TO,O,CHICKEN REEF,201415,14850,570,420,3.838383838,2.828282828
TO,O,CHICKEN REEF,201516,19200,2040,930,10.625,4.84375
TO,O,CHICKEN REEF,201617,22440,1290,570,5.748663102,2.540106952
TO,O,CHICKEN REEF,201718,25260,1260,660,4.988123515,2.612826603
TO,O,CHICKEN REEF,201920,35160,4080,570,11.60409556,1.62116041
TO,O,CHICKEN REEF,202021,41490,6030,1140,14.53362256,2.747650036
TO,O,CHICKEN REEF,202122,41880,5490,1050,13.10888252,2.507163324
TO,O,CHICKEN REEF,202223,43590,5250,1200,12.0440468,2.752924983
TO,O,CHICKEN REEF,202324,38700,4950,1110,12.79069767,2.868217054
