A_SECTOR,SHELF,REEF_NAME,YEAR_CODE,TOTAL_ROWS,POCILLOPORA_COUNT,STYLOPHORA_COUNT,POCILLOPORA_PERCENT,STYLOPHORA_PERCENT
TO,M,DAVIES REEF,199293,23184,192,552,0.82815735,2.380952381
TO,M,DAVIES REEF,199394,12840,96,480,0.747663551,3.738317757
TO,M,DAVIES REEF,199495,21456,96,744,0.447427293,3.467561521
TO,M,DAVIES REEF,199596,37320,144,1392,0.38585209,3.729903537
TO,M,DAVIES REEF,199697,26904,288,864,1.070472792,3.211418376
TO,M,DAVIES REEF,199798,28920,264,1056,0.912863071,3.651452282
TO,M,DAVIES REEF,199899,28896,0,648,0,2.242524917
TO,M,DAVIES REEF,199900,24336,0,888,0,3.648915187
TO,M,DAVIES REEF,200001,23904,0,888,0,3.714859438
TO,M,DAVIES REEF,200102,23304,0,696,0,2.98661174
TO,M,DAVIES REEF,200203,23520,0,984,0,4.183673469
TO,M,DAVIES REEF,200304,19344,0,720,0,3.722084367
TO,M,DAVIES REEF,200405,22416,0,720,0,3.211991435
TO,M,DAVIES REEF,200607,20016,48,1104,0.239808153,5.51558753
TO,M,DAVIES REEF,200809,22824,96,840,0.420609884,3.680336488
TO,M,DAVIES REEF,201011,13656,0,312,0,2.284710018
TO,M,DAVIES REEF,201213,19152,168,744,0.877192982,3.884711779
TO,M,DAVIES REEF,201415,18408,144,624,0.782268579,3.389830508
TO,M,DAVIES REEF,201617,21144,288,864,1.362088536,4.086265607
TO,M,DAVIES REEF,201819,27432,936,1392,3.412073491,5.074365704
TO,M,DAVIES REEF,202021,29808,744,1080,2.495974235,3.623188406
TO,M,DAVIES REEF,202122,28392,1008,1176,3.550295858,4.142011834
TO,M,DAVIES REEF,202223,26256,1128,1152,4.296160878,4.387568556
TO,M,DAVIES REEF,202324,27912,1128,1272,4.041272571,4.557179708
