# Variant positions																													
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr				
Aukane	0	1	0	0	0.93805	0.02714	0.00043	0.1239	0.10855	0.00085	0.8761	0.10855	0.00085	0.06195	0.02714	0.00043	0.93805	0.02714	0.00043	0.1239	0.10855	0.00085	0	0	0				
Chicken	60	26	0	0	0.94041	0.01106	0.00027	0.09974	0.02743	0.00043	0.90026	0.02743	0.00043	0.08996	0.01774	0.00034	0.91004	0.01774	0.00034	0.09173	0.01844	0.00035	-0.01733	0.02056	0				
Davies	1403	75	0	0	0.94051	0.01096	0.00027	0.09885	0.02618	0.00042	0.90115	0.02618	0.00042	0.08998	0.01737	0.00034	0.91002	0.01737	0.00034	0.09059	0.01761	0.00034	-0.01708	0.01895	0				
Dungeness	0	1	0	0	0.94581	0.02416	0.0004	0.10838	0.09663	0.0008	0.89162	0.09663	0.0008	0.05419	0.02416	0.0004	0.94581	0.02416	0.0004	0.10838	0.09663	0.0008	0	0	0				
Flinders	0	1	0	0	0.95523	0.02038	0.00037	0.08955	0.08153	0.00074	0.91045	0.08153	0.00074	0.04477	0.02038	0.00037	0.95523	0.02038	0.00037	0.08955	0.08153	0.00074	0	0	0				
Heron	0	2	0	0	0.94359	0.01653	0.00033	0.09965	0.05575	0.00061	0.90035	0.05575	0.00061	0.0734	0.02494	0.00041	0.9266	0.02494	0.00041	0.09786	0.04434	0.00054	-0.00268	0.0211	0				
Lady Musgrave	0	5	0	0	0.9395	0.01271	0.00029	0.10468	0.03755	0.0005	0.89532	0.03755	0.0005	0.08825	0.0214	0.00038	0.91175	0.0214	0.00038	0.09806	0.02642	0.00042	-0.01283	0.0237	0				
Little Broadhurst	21	22	0	0	0.94094	0.01127	0.00027	0.0992	0.02854	0.00044	0.9008	0.02854	0.00044	0.0886	0.01812	0.00035	0.9114	0.01812	0.00035	0.09066	0.01898	0.00036	-0.01903	0.02035	0				
Lizard	24	23	0	0	0.94115	0.01114	0.00027	0.09835	0.02782	0.00043	0.90165	0.02782	0.00043	0.08851	0.01796	0.00035	0.91149	0.01796	0.00035	0.09047	0.01877	0.00035	-0.01667	0.02105	0				
Masig	1	4	0	0	0.93521	0.01414	0.00031	0.11933	0.04777	0.00057	0.88067	0.04777	0.00057	0.09291	0.02343	0.0004	0.90709	0.02343	0.0004	0.10618	0.0306	0.00045	-0.02507	0.02144	0				
