geodist,gendist
9.18311,-0.0284961
9.18311,-0.0285193
9.18311,-0.0326638
9.18311,-0.048051
9.18102,0.174575
9.18102,0.135027
9.18102,0.147043
9.18102,0.148539
9.18102,0.1499
9.18102,0.132226
9.18102,0.0983703
9.18102,0.131536
9.18102,0.176041
9.18102,0.164934
9.18102,0.143851
9.18102,0.147095
9.18102,0.164198
9.18102,0.133442
9.18102,0.163554
9.18102,0.101984
9.18102,0.12295
9.18102,0.143318
9.18102,0.111323
9.18102,0.138304
9.18034,0.127592
9.18034,0.127442
9.18034,0.120984
9.18034,0.159736
9.18034,0.101464
9.17814,0.176916
9.17814,0.140011
9.17814,0.143323
9.17814,0.109846
9.17746,0.111234
9.1771,-0.0386491
9.1771,-0.0457343
9.1771,-0.0792508
9.16487,0.137584
9.16487,0.167784
9.16487,0.178104
9.16487,0.145864
9.16487,0.140341
9.16487,0.135829
9.16487,0.139708
9.16487,0.188574
9.16487,0.157623
9.16487,0.195131
9.16487,0.222195
9.16487,0.180034
9.16487,0.201717
9.16487,0.163657
9.16487,0.178138
9.16487,0.119564
9.16487,0.156398
9.16487,0.126866
9.16487,0.161523
9.16487,0.1523
9.16487,0.1718
9.03469,0.107645
9.03469,0.107845
9.03469,0.115303
9.03469,0.139542
9.03469,0.117294
9.03469,0.154781
9.03469,0.168035
9.03469,0.130686
9.03469,0.167478
9.03469,0.168969
9.03469,0.175146
9.03469,0.177527
9.03469,0.142791
9.03469,0.136629
9.03469,0.165156
9.03469,0.106169
9.03469,0.119013
9.03469,0.119613
9.03469,0.16094
9.03469,0.154537
9.03469,0.162875
9.03469,0.183523
9.03469,0.1632
9.03469,0.171194
9.03469,0.176282
9.0314,0.107603
9.0314,0.136153
9.0314,0.130264
9.0314,0.160906
9.0314,0.133014
9.0314,0.134263
9.0314,0.163776
9.0314,0.164614
9.0314,0.173515
9.0314,0.154016
9.0314,0.124867
9.0314,0.12113
9.0314,0.116101
9.0314,0.180804
9.0314,0.179269
9.0314,0.130245
9.0314,0.136349
9.0314,0.154407
9.0314,0.144447
9.0314,0.166263
9.03117,0.0968609
9.03117,0.161051
9.03117,0.153773
9.03117,0.145625
9.03117,0.160665
9.02787,0.156607
9.02787,0.176353
9.02787,0.155706
9.02787,0.106339
8.92927,-0.0280171
8.92927,0.00454445
8.92891,0.0171449
8.92891,-0.0365858
8.92891,-0.0165964
8.92822,0.147492
8.92822,0.17688
8.92822,0.176771
8.92822,0.186137
8.92822,0.200011
8.92822,0.164966
8.92822,0.158187
8.92822,0.158553
8.92822,0.12504
8.92822,0.181315
8.92822,0.166034
8.92822,0.121334
8.92822,0.156285
8.92822,0.178108
8.92822,0.149076
8.92822,0.153693
8.92822,0.146921
8.92822,0.157613
8.92822,0.1896
8.92822,0.265404
8.92822,0.150844
8.92822,0.202748
8.92822,0.19569
8.92822,0.183647
8.92822,0.178523
8.92822,0.200305
8.92822,0.188167
8.92822,0.192935
8.92822,0.229221
8.92822,0.179354
8.92822,0.148424
8.92822,0.202241
8.92822,0.140053
8.92822,0.134284
8.92822,0.142161
8.92822,0.123425
8.92822,0.187359
8.92822,0.165902
8.92822,0.169694
8.92822,0.181808
8.92822,0.213951
8.92822,0.174867
8.91404,-0.00698711
8.90815,-0.0483909
8.90727,-0.0365276
8.8443,-0.0260053
8.8443,-0.0423629
8.8443,0.00232793
8.8443,-0.0506841
8.8443,-0.0545712
8.8443,0.00554631
8.8443,0.0108511
8.8443,-0.0394515
8.8443,-0.0160501
8.8443,-0.0353181
8.8443,-0.00557039
8.8443,-0.0311557
8.8443,-0.00665449
8.8443,-0.0119004
8.8443,-0.00365253
8.8443,-0.0309234
8.8443,-0.0316723
8.8443,-0.031728
8.8443,-0.036711
8.8443,-0.049451
8.83875,0.0171334
8.83875,-0.0170612
8.83875,-0.0574462
8.83875,0.0200319
8.83875,-0.0422452
8.83875,-0.0467893
8.83875,0.00313975
8.83875,-0.0294108
8.83875,-0.0307515
8.83875,0.00918164
8.83875,0.00478633
8.83875,-0.0213896
