"","EcoSiteID","count","Density"
"1","CBHE_BA1D",1,0.00347222222222222
"2","CBHE_BA1S",1,0.00347222222222222
"3","CBHE_FR2S",1,0.00347222222222222
"4","CBLM_BA1S",10,0.0347222222222222
"5","CBLM_BA2S",2,0.00694444444444444
"6","CBLM_FL1S",4,0.0138888888888889
"7","CBLM_FL2S",6,0.0208333333333333
"8","OCCH_BA1S",25,0.0868055555555556
"9","OCCH_BA2S",19,0.0659722222222222
"10","OCCH_FL1S",33,0.114583333333333
"11","OCDA_BA1D",11,0.0381944444444444
"12","OCDA_BA1S",21,0.0729166666666667
"13","OCDA_BA2D",6,0.0208333333333333
"14","OCDA_BA2S",24,0.0833333333333333
"15","OCDA_FL1D",18,0.0625
"16","OCDA_FL1S",28,0.0972222222222222
"17","OCDA_FR1D",30,0.104166666666667
"18","OCDA_FR1S",69,0.239583333333333
"19","OCDA_FR2D",49,0.170138888888889
"20","OCDA_FR2S",56,0.194444444444444
"21","OCLB_BA1S",19,0.0659722222222222
"22","OCLB_FL1S",22,0.0763888888888889
"23","OCLB_LA1S",1,0.00347222222222222
"24","ONLI_BA1D",5,0.0173611111111111
"25","ONLI_BA1S",16,0.0555555555555556
"26","ONLI_BA2S",11,0.0381944444444444
"27","ONLI_FL1S",64,0.222222222222222
"28","ONLI_FR1S",127,0.440972222222222
"29","ONLI_FR2S",59,0.204861111111111
"30","ONLI_LA1S",1,0.00347222222222222
"31","ONMO_BA1D",38,0.131944444444444
"32","ONMO_BA1S",75,0.260416666666667
"33","ONMO_BA2D",21,0.0729166666666667
"34","ONMO_BA2S",33,0.114583333333333
"35","ONMO_FL1D",23,0.0798611111111111
"36","ONMO_FL1S",61,0.211805555555556
"37","ONMO_FR1D",8,0.0277777777777778
"38","ONMO_FR1S",63,0.21875
"39","ONMO_FR2D",2,0.00694444444444444
"40","ONMO_FR2S",69,0.239583333333333
"41","ONMO_LA1S",3,0.0104166666666667
"42","PAOR_FL1S",1,0.00347222222222222
"43","PAPE_BA2D",1,0.00347222222222222
"44","PAPE_BA2S",6,0.0208333333333333
"45","PAPE_FR1D",1,0.00347222222222222
"46","PAPE_FR1S",4,0.0138888888888889
"47","TSAU_FR2D",1,0.00347222222222222
"48","TSMA_FR2S",2,0.00694444444444444
