Site,Taxon1Abun
CBHE_BA1D,0.5
CBHE_BA1S,0.285714286
CBHE_BA2D,0.8
CBHE_BA2S,0.6
CBHE_FL1S,0.454545455
CBHE_FR1D,0
CBHE_FR1S,0.047619048
CBHE_FR2D,1
CBHE_FR2S,0.2
CBLM_BA1S,NA
CBLM_BA2S,0
CBLM_FL1S,0.538461538
CBLM_FL2S,0.5
CBLM_LA1S,1
OCCH_BA1S,0.5
OCCH_BA2S,0
OCCH_FL1S,1
OCDA_BA1D,0.888888889
OCDA_BA1S,1
OCDA_BA2D,NA
OCDA_BA2S,0.916666667
OCDA_FL1D,0.875
OCDA_FL1S,0.4
OCDA_FR1D,1
OCDA_FR1S,0.777777778
OCDA_FR2D,1
OCDA_FR2S,1
OCLB_BA1S,1
OCLB_FL1S,1
OCLB_LA1S,1
ONLI_BA1D,NA
ONLI_BA1S,1
ONLI_BA2S,1
ONLI_FL1S,1
ONLI_FR1S,1
ONLI_FR2S,1
ONLI_LA1S,1
ONMO_BA1D,1
ONMO_BA1S,NA
ONMO_BA2D,0
ONMO_BA2S,0
ONMO_FL1D,1
ONMO_FL1S,0.5
ONMO_FR1D,1
ONMO_FR1S,1
ONMO_FR2D,1
ONMO_FR2S,1
ONMO_LA1D,0.666666667
ONMO_LA1S,1
PAPE_FR1D,1
TSAU_BA1S,0
TSAU_BA2S,0
TSAU_FL1S,0
TSAU_FR1S,0
TSAU_FR2S,0
TSMA_BA1S,0
TSMA_BA2D,0
TSMA_BA2S,0
TSMA_FL1S,0
TSMA_FR1S,0
TSMA_FR2S,0
TSMA_LA1S,0
