Site_code,Taxon1,Taxon2,Taxon3,Taxon4,Taxon5
CBHE_BA1D,1,0,0,1,0
CBHE_BA1S,2,0,0,4,1
CBHE_BA2D,4,0,0,1,0
CBHE_BA2S,3,0,0,0,2
CBHE_FL1S,5,0,0,1,5
CBHE_FR1D,0,0,0,1,4
CBHE_FR1S,1,0,0,0,20
CBHE_FR2D,5,0,0,0,0
CBHE_FR2S,1,0,0,0,4
CBLM_BA2S,0,0,0,0,1
CBLM_FL1S,0,0,0,0,2
CBLM_FL2S,7,0,0,0,6
CBLM_LA1S,1,0,0,0,1
OCCH_BA1S,9,0,0,0,0
OCCH_BA2S,4,0,0,0,4
OCCH_FL1S,0,0,12,0,1
OCDA_BA1D,4,0,0,0,0
OCDA_BA1S,8,0,0,0,1
OCDA_BA2S,9,0,0,0,0
OCDA_FL1D,8,0,0,0,0
OCDA_FL1S,11,0,0,1,0
OCDA_FR1D,7,0,0,1,0
OCDA_FR1S,4,0,2,0,4
OCDA_FR2D,7,0,0,0,0
OCDA_FR2S,7,0,2,0,0
OCDA_LA1S,12,0,0,0,0
OCDA_LA2S,4,0,0,0,0
OCLB_BA1S,8,0,0,0,0
OCLB_FL1S,7,0,0,0,0
OCLB_LA1S,6,0,0,0,0
ONLI_BA1S,3,0,0,0,0
ONLI_BA2S,6,0,0,0,0
ONLI_FL1S,3,0,0,0,0
ONLI_FR1S,8,0,0,0,0
ONLI_FR2S,7,0,0,0,0
ONLI_LA1S,5,0,0,0,0
ONMO_BA1D,5,0,0,0,0
ONMO_BA2D,5,0,0,0,0
ONMO_BA2S,1,0,0,0,0
ONMO_FL1D,0,0,1,0,0
ONMO_FL1S,0,0,5,0,0
ONMO_FR1D,4,0,0,0,0
ONMO_FR1S,1,0,1,0,0
ONMO_FR2D,5,0,0,0,0
ONMO_FR2S,4,0,0,0,0
ONMO_LA1D,4,0,0,0,0
ONMO_LA1S,5,0,0,0,0
PAOR_FL1D,4,0,0,2,0
PAPE_BA1D,3,0,0,0,0
PAPE_BA2D,1,0,0,0,0
PAPE_BA2S,3,0,0,0,0
PAPE_FR1D,10,0,0,0,0
PAPE_FR1S,0,0,0,1,0
TSAU_BA1S,0,3,0,0,0
TSAU_BA2S,0,5,0,0,0
TSAU_FL1S,0,5,0,0,0
TSAU_FR1S,0,6,0,0,0
TSAU_FR2S,0,1,0,0,0
TSDU_BA3S,0,1,0,1,0
TSDU_FR1S,0,2,0,0,0
TSDU_FR2S,0,1,0,0,0
TSMA_BA1S,0,3,0,0,0
TSMA_BA2D,0,3,0,0,0
TSMA_BA2S,0,4,0,0,0
TSMA_FL1S,0,2,0,0,0
TSMA_FR1S,0,4,0,0,0
TSMA_FR2D,0,1,0,0,0
TSMA_FR2S,0,5,0,0,0
TSMA_LA1S,0,4,0,0,0
,,,,,
