Colony,OID_,TL_id,TL_Date,TL_Class,TL_Note,Area,Plot_ID,Year,EcoSiteID
1,114,114,1/5/21,Pver,"ng, 1370,,b",0.018945102,CBHE_BA1D_P1,2021,CBHE_BA1D
2,72,69,1/5/21,Pver, ,0.003800389,CBHE_BA1S_P1,2021,CBHE_BA1S
3,26,16,1/5/21,Pver,"v, ng, 1292",0.005025489,CBHE_FR2S_P2,2021,CBHE_FR2S
4,6,7,1/5/21,Pver, ,0.002761286,CBLM_BA1S_P1,2021,CBLM_BA1S
5,142,142,1/5/21,Pver,"v, ng, 1194",0.006590971,CBLM_BA1S_P1,2021,CBLM_BA1S
6,12,12,1/5/21,Pver, ,0.001866845,CBLM_BA1S_P3,2021,CBLM_BA1S
7,27,28,1/5/21,Pver, ,0.002246037,CBLM_BA1S_P3,2021,CBLM_BA1S
8,77,78,1/5/21,Pver, ,0.002129053,CBLM_BA1S_P3,2021,CBLM_BA1S
9,81,82,1/5/21,Pver,v,0.00363814,CBLM_BA1S_P3,2021,CBLM_BA1S
10,90,91,1/5/21,Pver, ,0.003613474,CBLM_BA1S_P3,2021,CBLM_BA1S
11,97,98,1/5/21,Pver,v,0.009458815,CBLM_BA1S_P3,2021,CBLM_BA1S
12,54,56,1/5/21,Pver, ,0.003483449,CBLM_BA1S_P4,2021,CBLM_BA1S
13,85,87,1/5/21,Pver, ,0.004659859,CBLM_BA1S_P4,2021,CBLM_BA1S
14,57,57,1/5/21,Pver, ,0.002151442,CBLM_BA2S_P1,2021,CBLM_BA2S
15,103,104,1/5/21,Pver,"ng, 1203",0.001600473,CBLM_BA2S_P1,2021,CBLM_BA2S
16,83,84,1/5/21,Pver, ,0.00540356,CBLM_FL1S_P1,2021,CBLM_FL1S
17,134,134,1/5/21,Pver,v,0.017765222,CBLM_FL1S_P1,2021,CBLM_FL1S
18,67,67,1/5/21,Pver,"v, ng, 1246",0.009927975,CBLM_FL1S_P2,2021,CBLM_FL1S
19,94,94,1/5/21,Pver,"ng, 1248",0.018897638,CBLM_FL1S_P2,2021,CBLM_FL1S
20,66,66,1/5/21,Pver, ,0.002762795,CBLM_FL2S_P1,2021,CBLM_FL2S
21,133,135,1/5/21,Pver, ,0.011187893,CBLM_FL2S_P1,2021,CBLM_FL2S
22,180,183,1/5/21,Pver, ,0.004459427,CBLM_FL2S_P2,2021,CBLM_FL2S
23,334,334,1/5/21,Pver,"ng, 1270, b",0.007666576,CBLM_FL2S_P2,2021,CBLM_FL2S
24,15,94,1/5/21,Pver,"ng, 1270",0.019133825,CBLM_FL2S_P3,2021,CBLM_FL2S
