Colony,OID_,TL_id,TL_Date,TL_Class,TL_Note,Area,Plot_ID,Year,Reef,EcoSiteID
1,96,97,1/5/21,Spis,"ng, 1369",0.040417515,CBHE_BA1D_P1,2021,Heron,CBHE_BA1D
2,48,50,1/5/21,Spis, ,0.003113588,CBHE_BA1D_P2,2021,Heron,CBHE_BA1D
3,76,35,1/5/21,Spis,"ng, 1391,,b",0.00764092,CBHE_BA1S_P4,2021,Heron,CBHE_BA1S
4,5,2,1/5/21,Spis, ,0.019747123,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
5,8,5,1/5/21,Spis, ,0.022308177,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
6,18,15,1/5/21,Spis,v,0.002883129,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
7,38,37,1/5/21,Spis, ,0.010313067,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
8,43,42,1/5/21,Spis,"ng, 1394",0.004413017,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
9,46,46,1/5/21,Spis, ,0.005995062,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
10,54,55,1/5/21,Spis,v,0.007623649,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
11,86,87,1/5/21,Spis, ,0.029390918,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
12,89,90,1/5/21,Spis,"ng, 1396,,bad",0.003627995,CBHE_BA2D_P1,2021,Heron,CBHE_BA2D
13,28,29,1/5/21,Spis, ,0.003738921,CBHE_BA2D_P2,2021,Heron,CBHE_BA2D
14,50,50,1/5/21,Spis,v,0.024567748,CBHE_BA2D_P2,2021,Heron,CBHE_BA2D
15,25,68,1/5/21,Spis,o,0.005190115,CBHE_BA2D_P3,2021,Heron,CBHE_BA2D
16,16,3,1/5/21,Spis,v,0.033529406,CBHE_BA2D_P4,2021,Heron,CBHE_BA2D
17,50,30,1/5/21,Spis,"v, ng, 1417",0.078293704,CBHE_BA2S_P3,2021,Heron,CBHE_BA2S
18,54,343,1/5/21,Spis, ,0.003345588,CBHE_BA2S_P4,2021,Heron,CBHE_BA2S
19,56,347,1/5/21,Spis, ,0.003488582,CBHE_BA2S_P4,2021,Heron,CBHE_BA2S
20,76,29,1/5/21,Spis, ,0.003589837,CBHE_BA2S_P4,2021,Heron,CBHE_BA2S
21,79,36,1/5/21,Spis,"ng, 1423",0.016223391,CBHE_BA2S_P4,2021,Heron,CBHE_BA2S
22,8,7,1/5/21,Spis,"ng, 1334",0.010543745,CBHE_FL1S_P1,2021,Heron,CBHE_FL1S
23,18,18,1/5/21,Spis, ,0.00230615,CBHE_FL1S_P1,2021,Heron,CBHE_FL1S
24,30,30,1/5/21,Spis,"v, ng, 1330",0.006641128,CBHE_FL1S_P1,2021,Heron,CBHE_FL1S
25,32,32,1/5/21,Spis,"ng, 1331",0.008075882,CBHE_FL1S_P1,2021,Heron,CBHE_FL1S
26,3,1,1/5/21,Spis, ,0.006696803,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
27,4,2,1/5/21,Spis, ,0.009488614,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
28,5,3,1/5/21,Spis, ,0.003907415,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
29,7,5,1/5/21,Spis,v,0.007520176,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
30,22,20,1/5/21,Spis,"ng, 1336",0.014101935,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
31,23,23,1/5/21,Spis,"ng, 1335",0.003117259,CBHE_FL1S_P2,2021,Heron,CBHE_FL1S
32,20,10,1/5/21,Spis,v,0.005374005,CBHE_FL1S_P4,2021,Heron,CBHE_FL1S
33,28,27,1/5/21,Spis,"ng, 1346",0.012062517,CBHE_FL1S_P4,2021,Heron,CBHE_FL1S
34,66,66,1/5/21,Spis,"ng, 1306",0.017814213,CBHE_FR1D_P1,2021,Heron,CBHE_FR1D
35,59,62,1/5/21,Spis, ,0.002511507,CBHE_FR1D_P2,2021,Heron,CBHE_FR1D
36,92,93,1/5/21,Spis,"ng, 1311",0.001137743,CBHE_FR1D_P2,2021,Heron,CBHE_FR1D
37,16,3,1/5/21,Spis,"ng, 1312",0.018454469,CBHE_FR1D_P3,2021,Heron,CBHE_FR1D
38,12,12,1/5/21,Spis, ,0.008687994,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
39,37,38,1/5/21,Spis,"ng, 1318",0.012840961,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
40,38,39,1/5/21,Spis, ,0.002248219,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
41,43,44,1/5/21,Spis, ,0.02805107,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
42,51,52,1/5/21,Spis, ,0.005794084,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
43,52,53,1/5/21,Spis, ,0.000353346,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
44,71,73,1/5/21,Spis, ,0.006306455,CBHE_FR1S_P1,2021,Heron,CBHE_FR1S
45,16,12,1/5/21,Spis, ,0.003400845,CBHE_FR1S_P2,2021,Heron,CBHE_FR1S
46,17,13,1/5/21,Spis, ,0.019203887,CBHE_FR1S_P2,2021,Heron,CBHE_FR1S
47,20,16,1/5/21,Spis, ,0.009000277,CBHE_FR1S_P2,2021,Heron,CBHE_FR1S
48,37,33,1/5/21,Spis, ,0.025177506,CBHE_FR1S_P2,2021,Heron,CBHE_FR1S
49,41,37,1/5/21,Spis, ,0.01751098,CBHE_FR1S_P2,2021,Heron,CBHE_FR1S
