lon,lat,lonlat,pop,uniquenumber,EcoReefID
16434897.93,-2133108.422,16434897.93 -2133108.422 1,pop1,1,Davies
16434472.69,-2135284.203,16434472.69 -2135284.203 2,pop1,2,Davies
16434472.69,-2135295.965,16434472.69 -2135295.965 3,pop1,3,Davies
16438393.36,-2132079.42,16438393.36 -2132079.42 4,pop1,4,Davies
16438393.36,-2132079.538,16438393.36 -2132079.538 5,pop1,5,Davies
16433792.52,-2134449.145,16433792.52 -2134449.145 6,pop1,6,Davies
16438393.36,-2132079.655,16438393.36 -2132079.655 7,pop1,7,Davies
16438393.36,-2132079.773,16438393.36 -2132079.773 8,pop1,8,Davies
16438393.36,-2132079.89,16438393.36 -2132079.89 9,pop1,9,Davies
16438393.36,-2132080.008,16438393.36 -2132080.008 10,pop1,10,Davies
16433792.52,-2134450.321,16433792.52 -2134450.321 11,pop1,11,Davies
16438393.36,-2132080.126,16438393.36 -2132080.126 12,pop1,12,Davies
16438393.36,-2132080.243,16438393.36 -2132080.243 13,pop1,13,Davies
16438393.36,-2132080.361,16438393.36 -2132080.361 14,pop1,14,Davies
16442838.68,-2114148.721,16442838.68 -2114148.721 15,pop2,15,Chicken
16442838.68,-2114148.722,16442838.68 -2114148.722 16,pop2,16,Chicken
16442838.68,-2114148.724,16442838.68 -2114148.724 17,pop2,17,Chicken
16442838.68,-2114148.725,16442838.68 -2114148.725 18,pop2,18,Chicken
16442838.68,-2114148.726,16442838.68 -2114148.726 19,pop2,19,Chicken
16442838.68,-2114148.727,16442838.68 -2114148.727 20,pop2,20,Chicken
16442189.35,-2114994.029,16442189.35 -2114994.029 21,pop2,21,Chicken
16441809.2,-2148351.228,16441809.2 -2148351.228 22,pop3,22,Little Broadhurst
16441809.2,-2148351.239,16441809.2 -2148351.239 23,pop3,23,Little Broadhurst
16441101.37,-2148973.311,16441101.37 -2148973.311 24,pop3,24,Little Broadhurst
16441809.2,-2148351.263,16441809.2 -2148351.263 25,pop3,25,Little Broadhurst
16441101.37,-2148973.312,16441101.37 -2148973.312 26,pop3,26,Little Broadhurst
16441101.37,-2148973.313,16441101.37 -2148973.313 27,pop3,27,Little Broadhurst
16441101.37,-2148973.314,16441101.37 -2148973.314 28,pop3,28,Little Broadhurst
16441101.37,-2148973.315,16441101.37 -2148973.315 29,pop3,29,Little Broadhurst
16441101.37,-2148973.317,16441101.37 -2148973.317 30,pop3,30,Little Broadhurst
16433792.52,-2134451.498,16433792.52 -2134451.498 31,pop1,31,Davies
16437871.27,-2133661.165,16437871.27 -2133661.165 32,pop1,32,Davies
16437871.27,-2133662.341,16437871.27 -2133662.341 33,pop1,33,Davies
16437871.27,-2133663.518,16437871.27 -2133663.518 34,pop1,34,Davies
16437874.61,-2133715.735,16437874.61 -2133715.735 35,pop1,35,Davies
16437874.61,-2133715.853,16437874.61 -2133715.853 36,pop1,36,Davies
16437874.61,-2133715.97,16437874.61 -2133715.97 37,pop1,37,Davies
16438415.62,-2132099.411,16438415.62 -2132099.411 38,pop1,38,Davies
16438415.62,-2132099.529,16438415.62 -2132099.529 39,pop1,39,Davies
16438415.62,-2132099.647,16438415.62 -2132099.647 40,pop1,40,Davies
16433801.43,-2134436.208,16433801.43 -2134436.208 41,pop1,41,Davies
16434897.93,-2133109.598,16434897.93 -2133109.598 42,pop1,42,Davies
