A_SECTOR,SHELF,REEF_NAME,YEAR_CODE,TOTAL_ROWS,POCILLOPORA_COUNT,STYLOPHORA_COUNT,POCILLOPORA_PERCENT,STYLOPHORA_PERCENT
CB,O,LADY MUSGRAVE REEF,199293,2720,0,32,0,1.176470588
CB,O,LADY MUSGRAVE REEF,199495,5440,128,64,2.352941176,1.176470588
CB,O,LADY MUSGRAVE REEF,199596,16384,160,32,0.9765625,0.1953125
CB,O,LADY MUSGRAVE REEF,199697,29312,800,160,2.729257642,0.545851528
CB,O,LADY MUSGRAVE REEF,199798,46112,1120,64,2.428868841,0.138792505
CB,O,LADY MUSGRAVE REEF,199899,54304,0,0,0,0
CB,O,LADY MUSGRAVE REEF,199900,62208,32,32,0.051440329,0.051440329
CB,O,LADY MUSGRAVE REEF,200001,56928,0,32,0,0.056211355
CB,O,LADY MUSGRAVE REEF,200102,65248,0,0,0,0
CB,O,LADY MUSGRAVE REEF,200203,71616,0,0,0,0
CB,O,LADY MUSGRAVE REEF,200304,71936,0,0,0,0
CB,O,LADY MUSGRAVE REEF,200405,59872,0,128,0,0.213789417
CB,O,LADY MUSGRAVE REEF,200506,74752,64,0,0.085616438,0
CB,O,LADY MUSGRAVE REEF,200607,73984,160,0,0.216262976,0
CB,O,LADY MUSGRAVE REEF,200708,71360,96,0,0.134529148,0
CB,O,LADY MUSGRAVE REEF,200809,9472,32,32,0.337837838,0.337837838
CB,O,LADY MUSGRAVE REEF,200910,992,0,0,0,0
CB,O,LADY MUSGRAVE REEF,201011,832,0,0,0,0
CB,O,LADY MUSGRAVE REEF,201112,3360,0,0,0,0
CB,O,LADY MUSGRAVE REEF,201213,3456,64,32,1.851851852,0.925925926
CB,O,LADY MUSGRAVE REEF,201314,7200,64,32,0.888888889,0.444444444
CB,O,LADY MUSGRAVE REEF,201415,21504,320,32,1.488095238,0.148809524
CB,O,LADY MUSGRAVE REEF,201516,44768,1408,32,3.145103645,0.071479628
CB,O,LADY MUSGRAVE REEF,201617,62592,768,64,1.226993865,0.102249489
CB,O,LADY MUSGRAVE REEF,201718,61504,512,0,0.832466181,0
CB,O,LADY MUSGRAVE REEF,201819,64800,384,64,0.592592593,0.098765432
CB,O,LADY MUSGRAVE REEF,201920,61184,1152,0,1.882845188,0
CB,O,LADY MUSGRAVE REEF,202021,70688,480,64,0.67904029,0.090538705
CB,O,LADY MUSGRAVE REEF,202122,69952,672,64,0.960658737,0.091491308
CB,O,LADY MUSGRAVE REEF,202223,55488,352,64,0.634371396,0.115340254
CB,O,LADY MUSGRAVE REEF,202324,60928,832,64,1.365546218,0.105042017
CB,O,LADY MUSGRAVE REEF,202425,4352,192,0,4.411764706,0
