vcf_name,Sample_name,EcoClusterID,fieldID,tagID,healthChart,locality,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoClusterID.1,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,Cluster,Date,Comment,SW500,SW1000,SW5000,SW10000
BLCH145A_BLCH145A,BLCH145A,Offshore Central GBR,1,Spis_9,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,1,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH148A_BLCH148A,BLCH148A,Offshore Central GBR,16,Spis_3,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,2,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH151A_BLCH151A,BLCH151A,Offshore Central GBR,17,Spis_8,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH152A_BLCH152A,BLCH152A,Offshore Central GBR,3,Spis_13,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH154A_BLCH154A,BLCH154A,Offshore Central GBR,33,Spis_11,C3,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH157A_BLCH157A,BLCH157A,Offshore Central GBR,34,Spis_34,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,4,Zoe Meziere,1,4,2022,Taxon1,1/4/22,,pop19,,,
BLCH174A_BLCH174A,BLCH174A,Offshore Central GBR,19,Spis_10,D1,Chicken,15:30,5,-18.6604,147.7027,OOCH_BA2S,Offshore Central GBR,Chicken,Back 2,Shallow,4,Zoe Meziere,1,4,2022,Taxon1,1/4/22,BLCH16A,pop18,,,
Spis_OCCH_628_Spis_OCCH_628,Spis_OCCH_628,Offshore Central GBR,9,,,Chicken,9:00,5,-18.660365,147.702675,OCCH_BA2S,Offshore Central GBR,Chicken,Back2,Shallow,,Zoe Meziere,17,1,2022,Taxon1,17/1/22,,pop18,,,
Spis_OCCH_629_Spis_OCCH_629,Spis_OCCH_629,Offshore Central GBR,4,,,Chicken,9:00,5,-18.660365,147.702675,OCCH_BA2S,Offshore Central GBR,Chicken,Back2,Shallow,,Zoe Meziere,17,1,2022,Taxon1,17/1/22,,pop18,,,
Spis_OCCH_634_Spis_OCCH_634,Spis_OCCH_634,Offshore Central GBR,8,,,Chicken,9:00,5,-18.660365,147.702675,OCCH_BA2S,Offshore Central GBR,Chicken,Back2,Shallow,,Zoe Meziere,17,1,2022,Taxon1,17/1/22,,pop18,,,
Spis_OCCH_655_Spis_OCCH_655,Spis_OCCH_655,Offshore Central GBR,4,,,Chicken,9:00,6,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back1,Shallow,,Zoe Meziere,18,1,2022,Taxon1,18/1/22,,pop19,,,
Spis_OCCH_659_Spis_OCCH_659,Spis_OCCH_659,Offshore Central GBR,15,,,Chicken,9:00,6,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back1,Shallow,,Zoe Meziere,18,1,2022,Taxon1,18/1/22,,pop19,,,
Spis_OCCH_668_Spis_OCCH_668,Spis_OCCH_668,Offshore Central GBR,10,,,Chicken,9:00,6,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back1,Shallow,,Zoe Meziere,18,1,2022,Taxon1,18/1/22,,pop19,,,
BLCH101A_BLCH101A,BLCH101A,Offshore Central GBR,31,Spis_51,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Taxon1,30/3/22,,pop16,,,
