lon,lat,lonlat,pop,uniquenumber
5366667.955,7265434.857,5366667.955 7265434.857 1,pop1,1
5349342.797,7243474.16,5349342.797 7243474.16 2,pop2,2
5349342.797,7243474.16,5349342.797 7243474.16 3,pop3,3
5349342.797,7243474.16,5349342.797 7243474.16 4,pop4,4
5355109.066,7245853.883,5355109.066 7245853.883 5,pop5,5
5368031.278,7265181.484,5368031.278 7265181.484 6,pop6,6
5368031.278,7265181.484,5368031.278 7265181.484 7,pop7,7
5366667.955,7265434.857,5366667.955 7265434.857 8,pop8,8
5366667.955,7265434.857,5366667.955 7265434.857 9,pop9,9
5366667.955,7265434.857,5366667.955 7265434.857 10,pop10,10
5366667.955,7265434.857,5366667.955 7265434.857 11,pop11,11
5366667.955,7265434.857,5366667.955 7265434.857 12,pop12,12
5366667.955,7265434.857,5366667.955 7265434.857 13,pop13,13
5365605.09,7264663.624,5365605.09 7264663.624 14,pop14,14
5365605.09,7264663.624,5365605.09 7264663.624 15,pop15,15
5365605.09,7264663.624,5365605.09 7264663.624 16,pop16,16
5365605.09,7264663.624,5365605.09 7264663.624 17,pop17,17
5353418.207,7225505.61,5353418.207 7225505.61 18,pop18,18
5353418.207,7225505.61,5353418.207 7225505.61 19,pop19,19
5353418.207,7225505.61,5353418.207 7225505.61 20,pop20,20
5352361.199,7225026.204,5352361.199 7225026.204 21,pop21,21
5353418.207,7225505.61,5353418.207 7225505.61 22,pop22,22
5348834.786,7244695.736,5348834.786 7244695.736 23,pop23,23
5352361.199,7225026.204,5352361.199 7225026.204 24,pop24,24
5212201.227,7327128.607,5212201.227 7327128.607 25,pop25,25
5352361.199,7225026.204,5352361.199 7225026.204 26,pop26,26
5212201.227,7327128.607,5212201.227 7327128.607 27,pop27,27
5210441.338,7322780.006,5210441.338 7322780.006 28,pop28,28
5210762.056,7327311.505,5210762.056 7327311.505 29,pop29,29
5210762.056,7327311.505,5210762.056 7327311.505 30,pop30,30
5355109.066,7245853.883,5355109.066 7245853.883 31,pop31,31
5210762.056,7327311.505,5210762.056 7327311.505 32,pop32,32
5210762.056,7327311.505,5210762.056 7327311.505 33,pop33,33
5355109.066,7245853.883,5355109.066 7245853.883 34,pop34,34
5355109.066,7245853.883,5355109.066 7245853.883 35,pop35,35
5355109.066,7245853.883,5355109.066 7245853.883 36,pop36,36
5353914.911,7244114.308,5353914.911 7244114.308 37,pop37,37
5353914.911,7244114.308,5353914.911 7244114.308 38,pop38,38
5355131.308,7245832.166,5355131.308 7245832.166 39,pop39,39
5355131.308,7245832.166,5355131.308 7245832.166 40,pop40,40
5351907.92,7242874.171,5351907.92 7242874.171 41,pop41,41
5351907.92,7242874.171,5351907.92 7242874.171 42,pop42,42
5351907.92,7242874.171,5351907.92 7242874.171 43,pop43,43
5351907.92,7242874.171,5351907.92 7242874.171 44,pop44,44
5351907.92,7242874.171,5351907.92 7242874.171 45,pop45,45
5350610.065,7245884.358,5350610.065 7245884.358 46,pop46,46
5348852.091,7244705.644,5348852.091 7244705.644 47,pop47,47
5350610.065,7245884.358,5350610.065 7245884.358 48,pop48,48
5350610.065,7245884.358,5350610.065 7245884.358 49,pop49,49
5350610.065,7245884.358,5350610.065 7245884.358 50,pop50,50
5348834.786,7244695.736,5348834.786 7244695.736 51,pop51,51
5350610.065,7245884.358,5350610.065 7245884.358 52,pop52,52
5350610.065,7245884.358,5350610.065 7245884.358 53,pop53,53
5043514.24,8611510.435,5043514.24 8611510.435 54,pop54,54
5707908.398,6317389.129,5707908.398 6317389.129 55,pop55,55
5675981.652,6407351.368,5675981.652 6407351.368 56,pop56,56
5707908.398,6317389.129,5707908.398 6317389.129 57,pop57,57
5366672.091,7265432.8,5366672.091 7265432.8 58,pop58,58
5366672.091,7265432.8,5366672.091 7265432.8 59,pop59,59
5353418.207,7225505.61,5353418.207 7225505.61 60,pop60,60
4974698.269,8599272.649,4974698.269 8599272.649 61,pop61,61
5053129.42,8629326.03,5053129.42 8629326.03 62,pop62,62
5045032.154,8630344.657,5045032.154 8630344.657 63,pop63,63
5680340.546,6406463.158,5680340.546 6406463.158 64,pop64,64
5707908.398,6317389.129,5707908.398 6317389.129 65,pop65,65
5711357.962,6318370.943,5711357.962 6318370.943 66,pop66,66
5711357.962,6318370.943,5711357.962 6318370.943 67,pop67,67
5643068.182,5840014.601,5643068.182 5840014.601 68,pop68,68
5365603.225,7264669.458,5365603.225 7264669.458 69,pop69,69
5365603.225,7264669.458,5365603.225 7264669.458 70,pop70,70
5365603.225,7264669.458,5365603.225 7264669.458 71,pop71,71
5365603.225,7264669.458,5365603.225 7264669.458 72,pop72,72
5365603.225,7264669.458,5365603.225 7264669.458 73,pop73,73
5365603.225,7264669.458,5365603.225 7264669.458 74,pop74,74
5368025.488,7265180.636,5368025.488 7265180.636 75,pop75,75
5366672.091,7265432.8,5366672.091 7265432.8 76,pop76,76
5366672.091,7265432.8,5366672.091 7265432.8 77,pop77,77
5366672.091,7265432.8,5366672.091 7265432.8 78,pop78,78
5366672.091,7265432.8,5366672.091 7265432.8 79,pop79,79
5351916.733,7242870.032,5351916.733 7242870.032 80,pop80,80
5351916.733,7242870.032,5351916.733 7242870.032 81,pop81,81
5351916.733,7242870.032,5351916.733 7242870.032 82,pop82,82
5351916.733,7242870.032,5351916.733 7242870.032 83,pop83,83
5351916.733,7242870.032,5351916.733 7242870.032 84,pop84,84
5351916.733,7242870.032,5351916.733 7242870.032 85,pop85,85
5351909.16,7242878.323,5351909.16 7242878.323 86,pop86,86
5351909.16,7242878.323,5351909.16 7242878.323 87,pop87,87
5351909.16,7242878.323,5351909.16 7242878.323 88,pop88,88
5351909.16,7242878.323,5351909.16 7242878.323 89,pop89,89
5351909.16,7242878.323,5351909.16 7242878.323 90,pop90,90
5353921.838,7244118.272,5353921.838 7244118.272 91,pop91,91
5353921.838,7244118.272,5353921.838 7244118.272 92,pop92,92
5353936.897,7244183.137,5353936.897 7244183.137 93,pop93,93
5353936.897,7244183.137,5353936.897 7244183.137 94,pop94,94
5353936.897,7244183.137,5353936.897 7244183.137 95,pop95,95
5353936.897,7244183.137,5353936.897 7244183.137 96,pop96,96
5353936.897,7244183.137,5353936.897 7244183.137 97,pop97,97
5353936.897,7244183.137,5353936.897 7244183.137 98,pop98,98
5355130.481,7245829.396,5355130.481 7245829.396 99,pop99,99
5355130.481,7245829.396,5355130.481 7245829.396 100,pop100,100
5355130.481,7245829.396,5355130.481 7245829.396 101,pop101,101
5355130.481,7245829.396,5355130.481 7245829.396 102,pop102,102
5355130.481,7245829.396,5355130.481 7245829.396 103,pop103,103
5355111.132,7245860.806,5355111.132 7245860.806 104,pop104,104
5355111.132,7245860.806,5355111.132 7245860.806 105,pop105,105
5355111.132,7245860.806,5355111.132 7245860.806 106,pop106,106
5355111.132,7245860.806,5355111.132 7245860.806 107,pop107,107
5349342.797,7243474.16,5349342.797 7243474.16 108,pop108,108
5349342.797,7243474.16,5349342.797 7243474.16 109,pop109,109
5349342.797,7243474.16,5349342.797 7243474.16 110,pop110,110
5349342.797,7243474.16,5349342.797 7243474.16 111,pop111,111
5349342.797,7243474.16,5349342.797 7243474.16 112,pop112,112
5349386.082,7243724.988,5349386.082 7243724.988 113,pop113,113
5349386.082,7243724.988,5349386.082 7243724.988 114,pop114,114
5349386.082,7243724.988,5349386.082 7243724.988 115,pop115,115
5349386.082,7243724.988,5349386.082 7243724.988 116,pop116,116
5349386.082,7243724.988,5349386.082 7243724.988 117,pop117,117
5348845.915,7244708.993,5348845.915 7244708.993 118,pop118,118
5348845.915,7244708.993,5348845.915 7244708.993 119,pop119,119
5348845.915,7244708.993,5348845.915 7244708.993 120,pop120,120
5348845.915,7244708.993,5348845.915 7244708.993 121,pop121,121
5348845.915,7244708.993,5348845.915 7244708.993 122,pop122,122
5348830.833,7244696.915,5348830.833 7244696.915 123,pop123,123
5348830.833,7244696.915,5348830.833 7244696.915 124,pop124,124
5348830.833,7244696.915,5348830.833 7244696.915 125,pop125,125
5348830.833,7244696.915,5348830.833 7244696.915 126,pop126,126
5348830.833,7244696.915,5348830.833 7244696.915 127,pop127,127
5348830.833,7244696.915,5348830.833 7244696.915 128,pop128,128
5352361.199,7225026.204,5352361.199 7225026.204 129,pop129,129
5352361.199,7225026.204,5352361.199 7225026.204 130,pop130,130
5352361.199,7225026.204,5352361.199 7225026.204 131,pop131,131
5352361.199,7225026.204,5352361.199 7225026.204 132,pop132,132
5352361.199,7225026.204,5352361.199 7225026.204 133,pop133,133
5353418.207,7225505.61,5353418.207 7225505.61 134,pop134,134
5353418.207,7225505.61,5353418.207 7225505.61 135,pop135,135
5353418.207,7225505.61,5353418.207 7225505.61 136,pop136,136
5353418.207,7225505.61,5353418.207 7225505.61 137,pop137,137
5353418.207,7225505.61,5353418.207 7225505.61 138,pop138,138
5353542.175,7224665.642,5353542.175 7224665.642 139,pop139,139
5353542.175,7224665.642,5353542.175 7224665.642 140,pop140,140
5353542.175,7224665.642,5353542.175 7224665.642 141,pop141,141
5353542.175,7224665.642,5353542.175 7224665.642 142,pop142,142
5204247.221,7892885.573,5204247.221 7892885.573 143,pop143,143
5204247.221,7892885.573,5204247.221 7892885.573 144,pop144,144
5204247.221,7892885.573,5204247.221 7892885.573 145,pop145,145
5204247.221,7892885.573,5204247.221 7892885.573 146,pop146,146
5204247.221,7892885.573,5204247.221 7892885.573 147,pop147,147
5212148.221,7898259.676,5212148.221 7898259.676 148,pop148,148
5212148.221,7898259.676,5212148.221 7898259.676 149,pop149,149
5212148.221,7898259.676,5212148.221 7898259.676 150,pop150,150
5212148.221,7898259.676,5212148.221 7898259.676 151,pop151,151
5212148.221,7898259.676,5212148.221 7898259.676 152,pop152,152
5204680.543,7897204.576,5204680.543 7897204.576 153,pop153,153
5204680.543,7897204.576,5204680.543 7897204.576 154,pop154,154
5204680.543,7897204.576,5204680.543 7897204.576 155,pop155,155
5207693.693,7893130.885,5207693.693 7893130.885 156,pop156,156
5207693.693,7893130.885,5207693.693 7893130.885 157,pop157,157
5204680.543,7897204.576,5204680.543 7897204.576 158,pop158,158
5204680.543,7897204.576,5204680.543 7897204.576 159,pop159,159
5206305.977,7899339.866,5206305.977 7899339.866 160,pop160,160
5206305.977,7899339.866,5206305.977 7899339.866 161,pop161,161
5206305.977,7899339.866,5206305.977 7899339.866 162,pop162,162
5212148.221,7898259.676,5212148.221 7898259.676 163,pop163,163
5212148.221,7898259.676,5212148.221 7898259.676 164,pop164,164
5212148.221,7898259.676,5212148.221 7898259.676 165,pop165,165
5237619.535,7570223.874,5237619.535 7570223.874 166,pop166,166
5237619.535,7570223.874,5237619.535 7570223.874 167,pop167,167
5240211.031,7569366.676,5240211.031 7569366.676 168,pop168,168
5241570.874,7565548.892,5241570.874 7565548.892 169,pop169,169
5241570.874,7565548.892,5241570.874 7565548.892 170,pop170,170
5240001.13,7564335.4,5240001.13 7564335.4 171,pop171,171
5240001.13,7564335.4,5240001.13 7564335.4 172,pop172,172
5240001.13,7564335.4,5240001.13 7564335.4 173,pop173,173
5239987.94,7564392.067,5239987.94 7564392.067 174,pop174,174
5240223.009,7569377.181,5240223.009 7569377.181 175,pop175,175
5240223.009,7569377.181,5240223.009 7569377.181 176,pop176,176
5240223.009,7569377.181,5240223.009 7569377.181 177,pop177,177
5240223.009,7569377.181,5240223.009 7569377.181 178,pop178,178
5238273.667,7568195.636,5238273.667 7568195.636 179,pop179,179
5238273.667,7568195.636,5238273.667 7568195.636 180,pop180,180
5238273.667,7568195.636,5238273.667 7568195.636 181,pop181,181
5238273.667,7568195.636,5238273.667 7568195.636 182,pop182,182
5238279.646,7568181.804,5238279.646 7568181.804 183,pop183,183
5238279.646,7568181.804,5238279.646 7568181.804 184,pop184,184
5238279.646,7568181.804,5238279.646 7568181.804 185,pop185,185
5238279.646,7568181.804,5238279.646 7568181.804 186,pop186,186
5238279.646,7568181.804,5238279.646 7568181.804 187,pop187,187
5237621.875,7570228.877,5237621.875 7570228.877 188,pop188,188
5237621.875,7570228.877,5237621.875 7570228.877 189,pop189,189
5237621.875,7570228.877,5237621.875 7570228.877 190,pop190,190
5237621.875,7570228.877,5237621.875 7570228.877 191,pop191,191
5237621.875,7570228.877,5237621.875 7570228.877 192,pop192,192
5231912.768,7566561.63,5231912.768 7566561.63 193,pop193,193
5231912.768,7566561.63,5231912.768 7566561.63 194,pop194,194
5231912.768,7566561.63,5231912.768 7566561.63 195,pop195,195
5231939.272,7566546.842,5231939.272 7566546.842 196,pop196,196
5231939.272,7566546.842,5231939.272 7566546.842 197,pop197,197
5231939.272,7566546.842,5231939.272 7566546.842 198,pop198,198
5231939.272,7566546.842,5231939.272 7566546.842 199,pop199,199
5210465.183,7322884.269,5210465.183 7322884.269 200,pop200,200
5210465.183,7322884.269,5210465.183 7322884.269 201,pop201,201
5212201.227,7327128.607,5212201.227 7327128.607 202,pop202,202
5212201.227,7327128.607,5212201.227 7327128.607 203,pop203,203
5212201.227,7327128.607,5212201.227 7327128.607 204,pop204,204
5212201.227,7327128.607,5212201.227 7327128.607 205,pop205,205
5212201.227,7327128.607,5212201.227 7327128.607 206,pop206,206
5212249.652,7327140.095,5212249.652 7327140.095 207,pop207,207
5212249.652,7327140.095,5212249.652 7327140.095 208,pop208,208
5212249.652,7327140.095,5212249.652 7327140.095 209,pop209,209
5212249.652,7327140.095,5212249.652 7327140.095 210,pop210,210
5210762.056,7327311.505,5210762.056 7327311.505 211,pop211,211
5210762.056,7327311.505,5210762.056 7327311.505 212,pop212,212
5210762.056,7327311.505,5210762.056 7327311.505 213,pop213,213
5210762.056,7327311.505,5210762.056 7327311.505 214,pop214,214
5210762.056,7327311.505,5210762.056 7327311.505 215,pop215,215
5210762.056,7327311.505,5210762.056 7327311.505 216,pop216,216
5210762.056,7327311.505,5210762.056 7327311.505 217,pop217,217
5210762.056,7327311.505,5210762.056 7327311.505 218,pop218,218
5210762.056,7327311.505,5210762.056 7327311.505 219,pop219,219
5210748.878,7327344.825,5210748.878 7327344.825 220,pop220,220
5210748.878,7327344.825,5210748.878 7327344.825 221,pop221,221
5210748.878,7327344.825,5210748.878 7327344.825 222,pop222,222
5050186.999,8631751.229,5050186.999 8631751.229 223,pop223,223
5053129.42,8629326.03,5053129.42 8629326.03 224,pop224,224
