# Variant positions																													
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr				
Davies	1805	81	0	0	0.97071	0.00284	0.00012	0.05544	0.00832	0.0002	0.94456	0.00832	0.0002	0.05119	0.00515	0.00016	0.94881	0.00515	0.00016	0.0515	0.00522	0.00016	-0.01997	0.00492	0				
Chicken	20	13	0	0	0.96928	0.00359	0.00013	0.05858	0.0116	0.00023	0.94142	0.0116	0.00023	0.05237	0.00725	0.00019	0.94763	0.00725	0.00019	0.05447	0.00784	0.00019	-0.01278	0.00555	0				
Little Broadhurst	47	21	0	0	0.9718	0.00321	0.00012	0.05325	0.00984	0.00022	0.94675	0.00984	0.00022	0.04837	0.00622	0.00017	0.95163	0.00622	0.00017	0.04955	0.00653	0.00018	-0.01318	0.00534	0				
Heron	114	22	0	0	0.97613	0.00298	0.00012	0.04518	0.00933	0.00021	0.95482	0.00933	0.00021	0.04063	0.00556	0.00016	0.95937	0.00556	0.00016	0.04158	0.00582	0.00017	-0.01209	0.00493	0				
Lady Musgrave	29	8	0	0	0.9767	0.00371	0.00013	0.04413	0.01238	0.00024	0.95587	0.01238	0.00024	0.03809	0.00732	0.00019	0.96191	0.00732	0.00019	0.04063	0.00833	0.0002	-0.00853	0.00536	0				
Lizard	561	32	0	0	0.96977	0.00306	0.00012	0.05726	0.00916	0.00021	0.94274	0.00916	0.00021	0.05251	0.00575	0.00017	0.94749	0.00575	0.00017	0.05335	0.00594	0.00017	-0.0163	0.00515	0				
Moore	772	34	0	0	0.96549	0.00318	0.00012	0.06603	0.00983	0.00022	0.93397	0.00983	0.00022	0.06029	0.00598	0.00017	0.93971	0.00598	0.00017	0.06119	0.00616	0.00017	-0.02117	0.00551	0				
Pelorus	88	21	0	0	0.9766	0.00313	0.00012	0.04388	0.00955	0.00021	0.95612	0.00955	0.00021	0.03945	0.00584	0.00017	0.96055	0.00584	0.00017	0.04041	0.00613	0.00017	-0.01133	0.00506	0				
# All positions (variant and fixed)																													
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Davies	1805	210570	210499	188585	89.55929	81	0	0	0.97072	0.00284	0.00012	0.05542	0.00832	0.0002	0.94458	0.00832	0.0002	0.05117	0.00515	0.00016	0.94883	0.00515	0.00016	0.05149	0.00522	0.00016	-0.01996	0.00492	0
Chicken	20	210570	210499	88925	42.23061	13	0	0	0.96929	0.00359	0.00013	0.05856	0.01159	0.00023	0.94144	0.01159	0.00023	0.05235	0.00724	0.00019	0.94765	0.00724	0.00019	0.05445	0.00784	0.00019	-0.01278	0.00555	0
Little Broadhurst	47	210570	210499	106792	50.71568	21	0	0	0.97181	0.00321	0.00012	0.05324	0.00984	0.00022	0.94676	0.00984	0.00022	0.04835	0.00622	0.00017	0.95165	0.00622	0.00017	0.04953	0.00653	0.00018	-0.01318	0.00534	0
Heron	114	210570	210499	94660	44.95417	22	0	0	0.97614	0.00298	0.00012	0.04517	0.00933	0.00021	0.95483	0.00933	0.00021	0.04062	0.00556	0.00016	0.95938	0.00556	0.00016	0.04156	0.00582	0.00017	-0.01208	0.00492	0
Lady Musgrave	29	210570	210499	46929	22.28665	8	0	0	0.97671	0.00371	0.00013	0.04411	0.01237	0.00024	0.95589	0.01237	0.00024	0.03808	0.00732	0.00019	0.96192	0.00732	0.00019	0.04062	0.00832	0.0002	-0.00853	0.00536	0
Lizard	561	210570	210499	143814	68.29748	32	0	0	0.96978	0.00306	0.00012	0.05724	0.00915	0.00021	0.94276	0.00915	0.00021	0.0525	0.00575	0.00017	0.9475	0.00575	0.00017	0.05333	0.00594	0.00017	-0.0163	0.00515	0
Moore	772	210570	210499	159939	75.95526	34	0	0	0.9655	0.00317	0.00012	0.06601	0.00983	0.00022	0.93399	0.00983	0.00022	0.06027	0.00598	0.00017	0.93973	0.00598	0.00017	0.06117	0.00616	0.00017	-0.02116	0.0055	0
Pelorus	88	210570	210499	86311	40.98922	21	0	0	0.97661	0.00313	0.00012	0.04386	0.00955	0.00021	0.95614	0.00955	0.00021	0.03943	0.00584	0.00017	0.96057	0.00584	0.00017	0.0404	0.00613	0.00017	-0.01133	0.00505	0
