pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Davies	contig_8999	1	1000	NA	0	NA	NA	NA
Chicken	contig_8999	1	1000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	1	1000	NA	0	NA	NA	NA
Heron	contig_8999	1	1000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	1	1000	NA	0	NA	NA	NA
Lizard	contig_8999	1	1000	NA	0	NA	NA	NA
Moore	contig_8999	1	1000	NA	0	NA	NA	NA
Pelorus	contig_8999	1	1000	NA	0	NA	NA	NA
Pelorus	contig_8999	1001	2000	NA	0	NA	NA	NA
Moore	contig_8999	1001	2000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	1001	2000	NA	0	NA	NA	NA
Lizard	contig_8999	1001	2000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	1001	2000	NA	0	NA	NA	NA
Chicken	contig_8999	1001	2000	NA	0	NA	NA	NA
Davies	contig_8999	1001	2000	NA	0	NA	NA	NA
Heron	contig_8999	1001	2000	NA	0	NA	NA	NA
Davies	contig_8999	2001	3000	NA	0	NA	NA	NA
Chicken	contig_8999	2001	3000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	2001	3000	NA	0	NA	NA	NA
Heron	contig_8999	2001	3000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	2001	3000	NA	0	NA	NA	NA
Lizard	contig_8999	2001	3000	NA	0	NA	NA	NA
Moore	contig_8999	2001	3000	NA	0	NA	NA	NA
Pelorus	contig_8999	2001	3000	NA	0	NA	NA	NA
Lizard	contig_8999	3001	4000	NA	0	NA	NA	NA
Pelorus	contig_8999	3001	4000	NA	0	NA	NA	NA
Moore	contig_8999	3001	4000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	3001	4000	NA	0	NA	NA	NA
Chicken	contig_8999	3001	4000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	3001	4000	NA	0	NA	NA	NA
Davies	contig_8999	3001	4000	NA	0	NA	NA	NA
Heron	contig_8999	3001	4000	NA	0	NA	NA	NA
Davies	contig_8999	4001	5000	NA	0	NA	NA	NA
Chicken	contig_8999	4001	5000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	4001	5000	NA	0	NA	NA	NA
Heron	contig_8999	4001	5000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	4001	5000	NA	0	NA	NA	NA
Lizard	contig_8999	4001	5000	NA	0	NA	NA	NA
Moore	contig_8999	4001	5000	NA	0	NA	NA	NA
Pelorus	contig_8999	4001	5000	NA	0	NA	NA	NA
Pelorus	contig_8999	5001	6000	NA	0	NA	NA	NA
Moore	contig_8999	5001	6000	NA	0	NA	NA	NA
Lizard	contig_8999	5001	6000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	5001	6000	NA	0	NA	NA	NA
Davies	contig_8999	5001	6000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	5001	6000	NA	0	NA	NA	NA
Chicken	contig_8999	5001	6000	NA	0	NA	NA	NA
Heron	contig_8999	5001	6000	NA	0	NA	NA	NA
Lizard	contig_8999	6001	7000	NA	0	NA	NA	NA
Pelorus	contig_8999	6001	7000	NA	0	NA	NA	NA
Moore	contig_8999	6001	7000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	6001	7000	NA	0	NA	NA	NA
Chicken	contig_8999	6001	7000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	6001	7000	NA	0	NA	NA	NA
Davies	contig_8999	6001	7000	NA	0	NA	NA	NA
Heron	contig_8999	6001	7000	NA	0	NA	NA	NA
Davies	contig_8999	7001	8000	NA	0	NA	NA	NA
Moore	contig_8999	7001	8000	NA	0	NA	NA	NA
Lizard	contig_8999	7001	8000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	7001	8000	NA	0	NA	NA	NA
Pelorus	contig_8999	7001	8000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	7001	8000	NA	0	NA	NA	NA
Chicken	contig_8999	7001	8000	NA	0	NA	NA	NA
Heron	contig_8999	7001	8000	NA	0	NA	NA	NA
Davies	contig_8999	8001	9000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	8001	9000	NA	0	NA	NA	NA
Heron	contig_8999	8001	9000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	8001	9000	NA	0	NA	NA	NA
Lizard	contig_8999	8001	9000	NA	0	NA	NA	NA
Moore	contig_8999	8001	9000	NA	0	NA	NA	NA
Pelorus	contig_8999	8001	9000	NA	0	NA	NA	NA
Chicken	contig_8999	8001	9000	NA	0	NA	NA	NA
Lizard	contig_8999	9001	10000	NA	0	NA	NA	NA
Pelorus	contig_8999	9001	10000	NA	0	NA	NA	NA
Moore	contig_8999	9001	10000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	9001	10000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	9001	10000	NA	0	NA	NA	NA
Chicken	contig_8999	9001	10000	NA	0	NA	NA	NA
Davies	contig_8999	9001	10000	NA	0	NA	NA	NA
Heron	contig_8999	9001	10000	NA	0	NA	NA	NA
Moore	contig_8999	10001	11000	NA	0	NA	NA	NA
Lizard	contig_8999	10001	11000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	10001	11000	NA	0	NA	NA	NA
Pelorus	contig_8999	10001	11000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	10001	11000	NA	0	NA	NA	NA
Chicken	contig_8999	10001	11000	NA	0	NA	NA	NA
Davies	contig_8999	10001	11000	NA	0	NA	NA	NA
Heron	contig_8999	10001	11000	NA	0	NA	NA	NA
Davies	contig_8999	11001	12000	NA	0	NA	NA	NA
Chicken	contig_8999	11001	12000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	11001	12000	NA	0	NA	NA	NA
Heron	contig_8999	11001	12000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	11001	12000	NA	0	NA	NA	NA
Lizard	contig_8999	11001	12000	NA	0	NA	NA	NA
Moore	contig_8999	11001	12000	NA	0	NA	NA	NA
Pelorus	contig_8999	11001	12000	NA	0	NA	NA	NA
Lizard	contig_8999	12001	13000	NA	0	NA	NA	NA
Pelorus	contig_8999	12001	13000	NA	0	NA	NA	NA
Moore	contig_8999	12001	13000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	12001	13000	NA	0	NA	NA	NA
Chicken	contig_8999	12001	13000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	12001	13000	NA	0	NA	NA	NA
Davies	contig_8999	12001	13000	NA	0	NA	NA	NA
Heron	contig_8999	12001	13000	NA	0	NA	NA	NA
Davies	contig_8999	13001	14000	NA	0	NA	NA	NA
Chicken	contig_8999	13001	14000	NA	0	NA	NA	NA
Little Broadhurst	contig_8999	13001	14000	NA	0	NA	NA	NA
Heron	contig_8999	13001	14000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	13001	14000	NA	0	NA	NA	NA
Lizard	contig_8999	13001	14000	NA	0	NA	NA	NA
Moore	contig_8999	13001	14000	NA	0	NA	NA	NA
Pelorus	contig_8999	13001	14000	NA	0	NA	NA	NA
Pelorus	contig_8999	14001	15000	NA	0	NA	NA	NA
Moore	contig_8999	14001	15000	NA	0	NA	NA	NA
Lizard	contig_8999	14001	15000	NA	0	NA	NA	NA
Lady Musgrave	contig_8999	14001	15000	NA	0	NA	NA	NA
Chicken	contig_8999	14001	15000	NA	0	NA	NA	NA
